,Critical Cases,Switzerland
0.0,0.0,
1.0,0.0,
2.0,0.0,
3.0,0.0,
4.0,0.0,
5.0,0.0,
6.0,0.0,
7.0,0.0,
8.0,0.0,
9.0,0.0,
10.0,0.0,
11.0,0.0,
12.0,0.0,
13.0,0.0,
14.0,0.0,
15.0,0.0,
16.0,0.0,
17.0,0.0,
18.0,0.0,
19.0,0.0,
20.0,0.0,
21.0,0.0,
22.0,0.0,
23.0,0.0,
24.0,0.0,
25.0,0.0,
26.0,0.0,
27.0,0.0,
28.0,0.0,
29.0,0.0,
30.0,0.0,
31.0,0.0,
32.0,0.0,
33.0,0.0,
34.0,0.0,
35.0,0.0,
36.0,0.0,
37.0,0.0,
38.0,0.0,
39.0,0.0,
40.0,0.0,
41.0,0.0,
42.0,0.0,
43.0,0.0,
44.0,0.0,
45.0,0.0,
46.0,0.0,
47.0,0.0,
48.0,0.0,
49.0,0.0,
50.0,0.0,
51.0,0.0,
52.0,0.0,
53.0,0.0,
54.0,0.0,
55.0,0.0,
56.0,0.0,
57.0,0.0,
58.0,0.0,
59.0,0.0,
60.0,0.0,
61.0,0.0,
62.0,0.0,
63.0,0.0,
64.0,0.0,
65.0,0.0,
66.0,0.0,
67.0,0.0,
68.0,0.0,
69.0,0.0,
70.0,0.0,
71.0,0.0,
72.0,0.0,
73.0,0.0,
74.0,0.0,
75.0,0.0,
76.0,0.0,
77.0,0.0,
78.0,0.0,
79.0,0.0,
80.0,0.0,
81.0,0.0,
82.0,0.0,
83.0,0.0,
84.0,0.0,
85.0,0.0,
86.0,0.0,
87.0,0.0,
88.0,0.0,
89.0,0.0,
90.0,0.0,
91.0,0.0,
92.0,0.0,
93.0,0.0,
94.0,0.0,
95.0,0.0,
96.0,0.0,
97.0,0.0,
98.0,0.0,
99.0,0.0,
100.0,0.0,
101.0,0.0,
102.0,0.0,
103.0,0.0,
104.0,0.0,
105.0,0.0,
106.0,0.00011843865327574755,
107.0,0.0008645887728246803,
108.0,0.0024190712110667275,
109.0,0.004870189311014898,
110.0,0.008346757638987509,
111.0,0.013024363200886914,
112.0,0.01913378418321153,
113.0,0.026971966141686288,
114.0,0.03691607499519447,
115.0,0.0494412902036932,
116.0,0.0651431768621985,0.0
117.0,0.08476569035507489,1.0
118.0,0.10923613177756755,1.0
119.0,0.1397086989750536,9.0
120.0,0.17761868212632545,10.0
121.0,0.2247498532974815,11.0
122.0,0.28331821984001493,14.0
123.0,0.35607608105369354,18.0
124.0,0.44644128232835956,26.0
125.0,0.5586577458450421,27.0
126.0,0.6979948274483664,28.0
127.0,0.870994874438983,29.0
128.0,1.0857806242531678,38.0
129.0,1.3524368952475823,54.0
130.0,1.683484509369734,67.0
131.0,2.0944687149508665,89.0
132.0,2.6046897474283552,99.0
133.0,3.238109825330478,191.0
134.0,4.0244791357578995,193.0
135.0,5.000733597178983,219.0
136.0,6.212729864870422,257.0
137.0,7.717398740205362,320.0
138.0,9.585417563598089,402.0
139.0,11.904526173199345,546.0
140.0,14.783640645354003,622.0
141.0,18.357955567206766,716.0
142.0,22.79527055233805,872.0
143.0,28.303831914855714,956.0
144.0,35.14204800600949,1076.0
145.0,43.63051916796455,1164.0
146.0,54.166923374495106,1479.0
147.0,67.24441947049179,1637.0
148.0,83.47437465984518,1751.0
149.0,103.61439449964273,1830.0
150.0,128.6028343882686,2037.0
151.0,159.60120202117838,2072.0
152.0,198.04611811595566,2166.0
153.0,245.71278017496442,2232.0
154.0,304.7921547799679,2233.0
155.0,377.98437786203226,2228.0
156.0,468.61101879446045,
157.0,580.7488818877908,
158.0,719.387754066569,
159.0,890.6137790753685,
160.0,1101.8186937224555,
161.0,1361.9326669437467,
162.0,1681.6745303832495,
163.0,2073.807338306657,
