,Diseased,Switzerland
0.0,0.0,
1.0,0.0,
2.0,0.0,
3.0,0.0,
4.0,0.0,
5.0,0.0,
6.0,0.0,
7.0,0.0,
8.0,0.0,
9.0,0.0,
10.0,0.0,
11.0,0.0,
12.0,0.0,
13.0,0.0,
14.0,0.0,
15.0,0.0,
16.0,0.0,
17.0,0.0,
18.0,0.0,
19.0,0.0,
20.0,0.0,
21.0,0.0,
22.0,0.0,
23.0,0.0,
24.0,0.0,
25.0,0.0,
26.0,0.0,
27.0,0.0,
28.0,0.0,
29.0,0.0,
30.0,0.0,
31.0,0.0,
32.0,0.0,
33.0,0.0,
34.0,0.0,
35.0,0.0,
36.0,0.0,
37.0,0.0,
38.0,0.0,
39.0,0.0,
40.0,0.0,
41.0,0.0,
42.0,0.0,
43.0,0.0,
44.0,0.0,
45.0,0.0,
46.0,0.0,
47.0,0.0,
48.0,0.0,
49.0,0.0,
50.0,0.0,
51.0,0.0,
52.0,0.0,
53.0,0.0,
54.0,0.0,
55.0,0.0,
56.0,0.0,
57.0,0.0,
58.0,0.0,
59.0,0.0,
60.0,0.0,
61.0,0.0,
62.0,0.0,
63.0,0.0,
64.0,0.0,
65.0,0.0,
66.0,0.0,
67.0,0.0,
68.0,0.0,
69.0,0.0,
70.0,0.0,
71.0,0.0,
72.0,0.0,
73.0,0.0,
74.0,0.0,
75.0,0.0,
76.0,0.0,
77.0,0.0,
78.0,0.0,
79.0,0.0,
80.0,0.0,
81.0,0.0,
82.0,0.0,
83.0,0.0,
84.0,0.0,
85.0,0.0,
86.0,0.0,
87.0,0.0,
88.0,0.0,
89.0,0.0,
90.0,0.0,
91.0,0.0,
92.0,0.0,
93.0,0.0,
94.0,0.0,
95.0,0.0,
96.0,0.0,
97.0,0.0,
98.0,0.0,
99.0,0.0,
100.0,0.0,
101.0,0.0,
102.0,0.0,
103.0,0.0,
104.0,0.0,
105.0,0.0,
106.0,8.233385072819595e-07,
107.0,1.3321789643250684e-05,
108.0,6.0463820479900486e-05,
109.0,0.00016965946151789298,
110.0,0.0003729357118628158,
111.0,0.0007082970636254053,
112.0,0.0012213795046077912,
113.0,0.0019674748328727585,
114.0,0.003014019435033248,
115.0,0.004443663453149444,
116.0,0.006358063511592722,0.0
117.0,0.008882576172258344,0.0
118.0,0.012172071629661592,0.0
119.0,0.016418139835676946,0.0
120.0,0.021858026732687948,0.0
121.0,0.028785719652446407,0.0
122.0,0.03756570203232472,0.0
123.0,0.0486500231643923,0.0
124.0,0.06259948462953853,0.0
125.0,0.08010993870928147,0.0
126.0,0.10204493451271374,1.0
127.0,0.129476246101836,1.0
128.0,0.16373418756523608,2.0
129.0,0.20647008017428048,3.0
130.0,0.25973380803966195,5.0
131.0,0.3260701078367408,6.0
132.0,0.40863811837411324,7.0
133.0,0.5113598081752323,8.0
134.0,0.6391042547851167,12.0
135.0,0.7979164312924882,18.0
136.0,0.9953012416239775,27.0
137.0,1.240576132995125,31.0
138.0,1.54530882059893,40.0
139.0,1.9238606330118204,47.0
140.0,2.3940609075898687,68.0
141.0,2.9780439551584266,85.0
142.0,3.703287644146346,103.0
143.0,4.603901957227545,133.0
144.0,5.72222735062851,154.0
145.0,7.110816882747006,182.0
146.0,8.834893455453827,227.0
147.0,10.97539481654431,255.0
148.0,13.632745009133489,292.0
149.0,16.931522644430192,328.0
150.0,21.02623474490244,384.0
151.0,26.108451052959087,457.0
152.0,32.41560872204553,515.0
153.0,40.24186216433627,568.0
154.0,49.95142812353959,607.0
155.0,61.99496164814601,617.0
156.0,76.92959314021172,
157.0,95.44335647968046,
158.0,118.38483642500582,
159.0,146.79894802874395,
160.0,181.96981231433054,
161.0,225.47168152525,
162.0,279.2287515295936,
163.0,345.58442082839923,
