day,Date
0,11/1/2019
1,11/2/2019
2,11/3/2019
3,11/4/2019
4,11/5/2019
5,11/6/2019
6,11/7/2019
7,11/8/2019
8,11/9/2019
9,11/10/2019
10,11/11/2019
11,11/12/2019
12,11/13/2019
13,11/14/2019
14,11/15/2019
15,11/16/2019
16,11/17/2019
17,11/18/2019
18,11/19/2019
19,11/20/2019
20,11/21/2019
21,11/22/2019
22,11/23/2019
23,11/24/2019
24,11/25/2019
25,11/26/2019
26,11/27/2019
27,11/28/2019
28,11/29/2019
29,11/30/2019
30,12/1/2019
31,12/2/2019
32,12/3/2019
33,12/4/2019
34,12/5/2019
35,12/6/2019
36,12/7/2019
37,12/8/2019
38,12/9/2019
39,12/10/2019
40,12/11/2019
41,12/12/2019
42,12/13/2019
43,12/14/2019
44,12/15/2019
45,12/16/2019
46,12/17/2019
47,12/18/2019
48,12/19/2019
49,12/20/2019
50,12/21/2019
51,12/22/2019
52,12/23/2019
53,12/24/2019
54,12/25/2019
55,12/26/2019
56,12/27/2019
57,12/28/2019
58,12/29/2019
59,12/30/2019
60,12/31/2019
61,1/1/2020
62,1/2/2020
63,1/3/2020
64,1/4/2020
65,1/5/2020
66,1/6/2020
67,1/7/2020
68,1/8/2020
69,1/9/2020
70,1/10/2020
71,1/11/2020
72,1/12/2020
73,1/13/2020
74,1/14/2020
75,1/15/2020
76,1/16/2020
77,1/17/2020
78,1/18/2020
79,1/19/2020
80,1/20/2020
81,1/21/2020
82,1/22/2020
83,1/23/2020
84,1/24/2020
85,1/25/2020
86,1/26/2020
87,1/27/2020
88,1/28/2020
89,1/29/2020
90,1/30/2020
91,1/31/2020
92,2/1/2020
93,2/2/2020
94,2/3/2020
95,2/4/2020
96,2/5/2020
97,2/6/2020
98,2/7/2020
99,2/8/2020
100,2/9/2020
101,2/10/2020
102,2/11/2020
103,2/12/2020
104,2/13/2020
105,2/14/2020
106,2/15/2020
107,2/16/2020
108,2/17/2020
109,2/18/2020
110,2/19/2020
111,2/20/2020
112,2/21/2020
113,2/22/2020
114,2/23/2020
115,2/24/2020
116,2/25/2020
117,2/26/2020
118,2/27/2020
119,2/28/2020
120,2/29/2020
121,3/1/2020
122,3/2/2020
123,3/3/2020
124,3/4/2020
125,3/5/2020
126,3/6/2020
127,3/7/2020
128,3/8/2020
129,3/9/2020
130,3/10/2020
131,3/11/2020
132,3/12/2020
133,3/13/2020
134,3/14/2020
135,3/15/2020
136,3/16/2020
137,3/17/2020
138,3/18/2020
139,3/19/2020
140,3/20/2020
141,3/21/2020
142,3/22/2020
143,3/23/2020
144,3/24/2020
145,3/25/2020
146,3/26/2020
147,3/27/2020
148,3/28/2020
149,3/29/2020
150,3/30/2020
151,3/31/2020
152,4/1/2020
153,4/2/2020
154,4/3/2020
155,4/4/2020
156,4/5/2020
157,4/6/2020
158,4/7/2020
159,4/8/2020
160,4/9/2020
161,4/10/2020
162,4/11/2020
163,4/12/2020
164,4/13/2020
165,4/14/2020
166,4/15/2020
167,4/16/2020
168,4/17/2020
169,4/18/2020
170,4/19/2020
171,4/20/2020
