Entity,Code,Date,Case fatality rate of COVID-19 (%) (Only observations with ≥100 cases) (%)
Afghanistan,AFG,29-Mar-20,2.830188679
Afghanistan,AFG,30-Mar-20,3.50877193
Afghanistan,AFG,31-Mar-20,2.836879433
Afghanistan,AFG,1-Apr-20,2.409638554
Afghanistan,AFG,2-Apr-20,2.083333333
Afghanistan,AFG,3-Apr-20,1.70212766
Albania,ALB,24-Mar-20,4
Albania,ALB,25-Mar-20,4.06504065
Albania,ALB,26-Mar-20,3.424657534
Albania,ALB,27-Mar-20,3.448275862
Albania,ALB,28-Mar-20,4.838709677
Albania,ALB,29-Mar-20,5.076142132
Albania,ALB,30-Mar-20,4.716981132
Albania,ALB,31-Mar-20,5.381165919
Albania,ALB,1-Apr-20,6.172839506
Albania,ALB,2-Apr-20,5.791505792
Albania,ALB,3-Apr-20,5.776173285
Algeria,DZA,23-Mar-20,14.70588235
Algeria,DZA,24-Mar-20,8.994708995
Algeria,DZA,25-Mar-20,7.359307359
Algeria,DZA,26-Mar-20,6.439393939
Algeria,DZA,27-Mar-20,6.885245902
Algeria,DZA,28-Mar-20,6.885245902
Algeria,DZA,29-Mar-20,6.356968215
Algeria,DZA,30-Mar-20,6.387665198
Algeria,DZA,31-Mar-20,6.066536204
Algeria,DZA,1-Apr-20,5.993150685
Algeria,DZA,2-Apr-20,6.847697757
Algeria,DZA,3-Apr-20,6.847697757
Andorra,AND,23-Mar-20,0
Andorra,AND,24-Mar-20,0
Andorra,AND,25-Mar-20,0
Andorra,AND,26-Mar-20,0
Andorra,AND,27-Mar-20,1.339285714
Andorra,AND,28-Mar-20,1.123595506
Andorra,AND,29-Mar-20,1.298701299
Andorra,AND,30-Mar-20,1.796407186
Andorra,AND,31-Mar-20,2.162162162
Andorra,AND,1-Apr-20,3.191489362
Andorra,AND,2-Apr-20,3.58974359
Andorra,AND,3-Apr-20,3.504672897
Argentina,ARG,20-Mar-20,2.34375
Argentina,ARG,21-Mar-20,1.898734177
Argentina,ARG,22-Mar-20,1.777777778
Argentina,ARG,23-Mar-20,1.503759398
Argentina,ARG,24-Mar-20,1.328903654
Argentina,ARG,25-Mar-20,1.550387597
Argentina,ARG,26-Mar-20,1.593625498
Argentina,ARG,27-Mar-20,2.037351443
Argentina,ARG,28-Mar-20,2.463768116
Argentina,ARG,29-Mar-20,2.55033557
Argentina,ARG,30-Mar-20,2.43902439
Argentina,ARG,31-Mar-20,2.48447205
Argentina,ARG,1-Apr-20,2.48447205
Argentina,ARG,2-Apr-20,2.736098853
Argentina,ARG,3-Apr-20,3.000882613
Armenia,ARM,19-Mar-20,0
Armenia,ARM,20-Mar-20,0
Armenia,ARM,21-Mar-20,0
Armenia,ARM,22-Mar-20,0
Armenia,ARM,23-Mar-20,0
Armenia,ARM,24-Mar-20,0
Armenia,ARM,25-Mar-20,0
Armenia,ARM,26-Mar-20,0
Armenia,ARM,27-Mar-20,0.303951368
Armenia,ARM,28-Mar-20,0.268817204
Armenia,ARM,29-Mar-20,0.70754717
Armenia,ARM,30-Mar-20,0.70754717
Armenia,ARM,31-Mar-20,0.622406639
Armenia,ARM,1-Apr-20,0.563909774
Armenia,ARM,2-Apr-20,0.525394046
Armenia,ARM,3-Apr-20,0.60331825
Australia,AUS,10-Mar-20,3
Australia,AUS,11-Mar-20,2.678571429
Australia,AUS,12-Mar-20,2.380952381
Australia,AUS,13-Mar-20,1.923076923
Australia,AUS,14-Mar-20,1.52284264
Australia,AUS,15-Mar-20,1.204819277
Australia,AUS,16-Mar-20,1.677852349
Australia,AUS,17-Mar-20,1.333333333
Australia,AUS,18-Mar-20,1.101321586
Australia,AUS,19-Mar-20,1.061946903
Australia,AUS,20-Mar-20,0.846262341
Australia,AUS,21-Mar-20,0.800915332
Australia,AUS,22-Mar-20,0.637522769
Australia,AUS,23-Mar-20,0.409596255
Australia,AUS,24-Mar-20,0.383982447
Australia,AUS,25-Mar-20,0.330169212
Australia,AUS,26-Mar-20,0.392997499
Australia,AUS,27-Mar-20,0.410612761
Australia,AUS,28-Mar-20,0.384843102
Australia,AUS,29-Mar-20,0.367550538
Australia,AUS,30-Mar-20,0.390911312
Australia,AUS,31-Mar-20,0.41694097
Australia,AUS,1-Apr-20,0.424899086
Australia,AUS,2-Apr-20,0.422025723
Australia,AUS,3-Apr-20,0.440275651
Austria,AUT,9-Mar-20,0
Austria,AUT,10-Mar-20,0
Austria,AUT,11-Mar-20,0
Austria,AUT,12-Mar-20,0
Austria,AUT,13-Mar-20,0.27700831
Austria,AUT,14-Mar-20,0.198412698
Austria,AUT,15-Mar-20,0.152671756
Austria,AUT,16-Mar-20,0.11627907
Austria,AUT,17-Mar-20,0.295275591
Austria,AUT,18-Mar-20,0.225225225
Austria,AUT,19-Mar-20,0.243013366
Austria,AUT,20-Mar-20,0.273224044
Austria,AUT,21-Mar-20,0.226500566
Austria,AUT,22-Mar-20,0.264550265
Austria,AUT,23-Mar-20,0.440649959
Austria,AUT,24-Mar-20,0.557289345
Austria,AUT,25-Mar-20,0.567966679
Austria,AUT,26-Mar-20,0.577445652
Austria,AUT,27-Mar-20,0.739792289
Austria,AUT,28-Mar-20,0.883461089
Austria,AUT,29-Mar-20,0.820166446
Austria,AUT,30-Mar-20,0.975831159
Austria,AUT,31-Mar-20,1.122894573
Austria,AUT,1-Apr-20,1.257120409
Austria,AUT,2-Apr-20,1.363084679
Austria,AUT,3-Apr-20,1.41971426
Azerbaijan,AZE,27-Mar-20,2.459016393
