Date,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,Switzerland
116,,,,,,,,0,,,,,,,,,,,,,,,,,,,0
117,,,,,,,,1,,,,,,,,,,,,,,,,,,,1
118,,,,,,,,1,,,,,,,,,,,,,,,,,,,1
119,,,,,,,,2,,,,,,,,,,,,,,,4,3,,,9
120,,,,,,,,3,,,,,,,,,,,,,,,4,3,,,10
121,,,,,,,,3,,,,,,,,,,,,,,,4,4,,,11
122,,,,,,,,3,,,,,1,,,,,,,,,,6,4,,,14
123,,,,,,,,4,,,,,1,,,,,,,,,,8,5,,,18
124,,,,,,,,4,,,,,4,,,,,,1,,,,11,6,,,26
125,,,,,,,,5,,,,,4,,,,,,,,,,14,3,,,27
126,,,,,,,,7,,,,,2,,,,,,,,,,15,3,,,28
127,,,,,,,,7,,,,,2,,,,,,,,,,16,,,,29
128,,,,,,,,9,,,,,3,,,,,,,,,,22,3,,,38
129,,,,,,,,13,,,,,4,,,,,,,,,,29,7,,,54
130,,,,,,,,18,,,,,4,,,,,,,,,,36,8,,,67
131,,,,,,13,,20,,,,,6,,,,,,,,,,38,11,,,89
132,1,,,,,,,23,,,,,6,,,,,,,,,,43,12,,,99
133,,,,,,,,33,,,,,9,,,,,,,,65,,52,17,,,191
134,,,,,,,,43,,,,,10,,,,,,,,,,43,17,,,193
135,,,,,,,,46,,,,,9,,,,,,,,,,62,22,,,219
136,2,,,,,,,66,,,7,,13,,,,,,,,,,66,24,,,257
137,2,,,,,30,,75,,,7,,16,,,,,,,,,,95,29,,,320
138,6,,3,,,40,11,78,,13,6,,18,,,,,,,,,,128,33,,,402
139,17,1,,,,40,12,92,,18,6,,19,,,,,,,,155,,140,42,,,546
140,25,,,,,45,20,109,,24,5,,21,,,,,,,,168,,152,47,1,,622
141,,,,,,46,28,145,,24,8,,20,,,,,,,,184,,175,55,,,716
142,,,,,,50,32,179,3,27,9,,28,,,,,,,,246,,203,64,,,872
143,10,,7,,,56,35,214,,,13,,33,,,,,,,,261,1,223,70,,,956
144,24,,6,,,58,35,238,3,29,16,,32,,,,,,,,285,1,266,80,,,1076
145,16,,,,,58,39,258,2,43,16,,41,,,,,,,,306,,291,84,,,1164
146,38,,,,,74,44,272,2,45,16,,42,,,,,,,,358,4,327,96,,152,1479
147,50,,,,,76,50,313,3,52,16,,45,,,,,,,,386,7,370,104,,156,1637
148,,,,,,79,67,339,3,,23,,50,,,,,,,,385,7,390,110,,187,1751
149,,,,,,87,76,365,,,25,,60,,,,,,,,402,7,388,112,,194,1830
150,94,,,112,,90,77,382,1,63,23,,57,,,,,,,,415,7,386,122,,199,2037
151,85,,,111,,105,77,405,5,58,23,,59,,,,,,,,401,9,392,136,,197,2072
152,94,,,115,,108,81,406,5,58,29,57,66,,,,,,,,396,10,390,139,,203,2166
153,94,,,104,,119,80,424,5,59,27,66,61,,,53,18,14,,,374,4,386,135,,200,2232
154,100,,,109,,115,77,424,5,60,25,49,61,,,63,6,17,,,370,6,,144,,207,2233
155,,,,113,,91,89,,,,,,,,,66,,,,,,,,,,,2228
