Date,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,Switzerland
116,,,,,,,,,,,,,,,,,,,,,,,,,,,0
117,,,,,,,,,,,,,,,,,,,,,,,,,,,0
118,,,,,,,,,,,,,,,,,,,,,,,,,,,0
119,,,,,,,,,,,,,,,,,,,,,,,,,,,0
120,,,,,,,,,,,,,,,,,,,,,,,,,,,0
121,,,,,,,,,,,,,,,,,,,,,,,,,,,0
122,,,,,,,,,,,,,,,,,,,,,,,,,,,0
123,,,,,,,,,,,,,,,,,,,,,,,,,,,0
124,,,,,,,,,,,,,,,,,,,,,,,,,,,0
125,,,,,,,,,,,,,,,,,,,,,,,,,,,0
126,,,,,,,,,,,,,,,,,,,,,,,1,,,,1
127,,,,,,,,,,,,,,,,,,,,,,,1,,,,1
128,,,,,1,,,,,,,,,,,,,,,,,,1,,,,2
129,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,3
130,,,,,1,,,2,,,,,,,,,,,,,1,,1,,,,5
131,,,,,2,,,2,,,,,,,,,,,,,,,1,,,,6
132,,,,,2,1,,2,,,,,,,,,,,,,,,1,,,,7
133,,,,,2,1,,2,,,,,,,,,,,,,,,2,,,,8
134,,,,,2,1,,2,,,,,,,,,,,,,3,,3,1,,,12
135,,,,,2,,,4,,,,,,,,,,,,,6,,4,1,,,18
136,,,,1,2,4,,4,,,,,,,,,,,,,8,,5,2,,1,27
137,,,,,2,4,,4,,,,,1,,,,,,,,10,,5,3,,,31
138,,,,1,2,4,1,6,,1,,,2,,,,,,,,14,,5,3,,,40
139,,,,1,2,4,1,6,,1,,,3,,,,,,,,15,,7,4,,3,47
140,1,,,2,3,4,1,8,,3,,,3,,,,,,,,22,,12,6,,3,68
141,,,1,3,3,5,2,9,,3,,1,4,,,,,,,,28,,15,7,,,85
142,1,,,,3,5,3,10,,6,,1,4,,,,,,,,37,,16,10,,,103
143,1,,1,5,3,5,4,10,,,,1,5,,,1,,1,,,48,,25,12,,5,133
144,2,,2,6,4,5,5,13,,6,,2,6,,,,,1,,1,53,,29,13,,5,154
145,2,,2,6,5,8,6,16,,6,,2,9,,,1,,1,,1,60,,36,14,,7,182
146,2,,2,7,5,12,11,22,,9,,3,11,,,2,,1,1,1,67,,47,15,,9,227
147,3,,2,8,5,13,15,23,,9,,3,12,,,,,1,1,2,76,,48,20,1,11,255
148,,,2,9,6,13,15,27,1,,,4,14,,,5,,1,2,2,87,,55,21,,15,292
149,,,2,10,6,15,16,37,,,,5,17,,,5,,2,2,2,93,,66,21,,15,328
150,8,,2,13,7,15,17,43,1,12,,6,19,,,5,,,2,2,105,,77,26,1,21,384
151,11,,2,16,10,16,20,52,2,19,,7,21,,,7,,2,4,3,120,,84,35,1,25,457
152,11,,3,20,11,18,23,65,2,21,,7,23,,,7,1,3,4,4,132,1,92,37,1,29,515
153,12,,3,23,12,19,26,72,2,23,,7,,,,8,1,3,4,4,141,1,107,40,1,36,568
154,12,,3,26,14,21,31,,2,27,,7,,,,8,1,3,4,5,155,1,,45,2,38,607
155,,,,28,,,37,,,,,,,,,9,,3,5,,,,,,2,,617
