,base,base,base,base,policy,policy,policy,policy
,Susceptible,total infected,Critical Cases,Diseased,Susceptible,total infected,Critical Cases,Diseased
0.0,8000000.0,0.0,0.0,0.0,8000000.0,0.0,0.0,0.0
1.0,7999999.87123249,0.1002407817099315,0.00030354998129153817,2.921207335013499e-06,7999999.87123249,0.1002407817099315,0.00030354998129153817,2.921207335013499e-06
2.0,7999999.584586699,0.31281802204124376,0.002074291488294562,4.436395303991475e-05,7999999.584586699,0.31281802204124376,0.002074291488294562,4.436395303991475e-05
3.0,7999999.25705758,0.5420478697673071,0.005382369131776863,0.00018773882464943545,7999999.25705758,0.5420478697673071,0.005382369131776863,0.00018773882464943545
4.0,7999998.8840456465,0.7921636568287427,0.010017420490060288,0.0004901349632624024,7999998.8840456465,0.7921636568287427,0.010017420490060288,0.0004901349632624024
5.0,7999998.4602733785,1.0674626394448228,0.015840297065150513,0.0010016782499262203,7999998.4602733785,1.0674626394448228,0.015840297065150513,0.0010016782499262203
6.0,7999997.979724582,1.3724111490881428,0.022770093881868333,0.0017681128843117372,7999997.979724582,1.3724111490881428,0.022770093881868333,0.0017681128843117372
7.0,7999997.435571432,1.7117420693785514,0.03077430214691575,0.0028329279871606486,7999997.435571432,1.7117420693785514,0.03077430214691575,0.0028329279871606486
8.0,7999996.820088664,2.0905480686871134,0.03986145828783339,0.004239141294985488,7999996.820088664,2.0905480686871134,0.03986145828783339,0.004239141294985488
9.0,7999996.124554191,2.514373512936764,0.05007580090806345,0.006030829777074653,7999996.124554191,2.514373512936764,0.05007580090806345,0.006030829777074653
10.0,7999995.339135062,2.9893076122567273,0.06149355667951309,0.008254479706372685,7999995.339135062,2.9893076122567273,0.06149355667951309,0.008254479706372685
11.0,7999994.452757508,3.5220810936510696,0.07422056311608619,0.010960215334317392,7999994.452757508,3.5220810936510696,0.07422056311608619,0.010960215334317392
12.0,7999993.452959472,4.120168520279872,0.08839100540034206,0.014202955052394767,7999993.452959472,4.120168520279872,0.08839100540034206,0.014202955052394767
13.0,7999992.325723828,4.791898281503163,0.10416709981848563,0.018043536141048606,7999992.325723828,4.791898281503163,0.10416709981848563,0.018043536141048606
14.0,7999991.055290108,5.546572245346228,0.12173960093990252,0.022549843418117523,7999991.055290108,5.546572245346228,0.12173960093990252,0.022549843418117523
15.0,7999989.623942311,6.394597088304943,0.14132904586775608,0.027797972921422057,7999989.623942311,6.394597088304943,0.14132904586775608,0.027797972921422057
16.0,7999988.01176999,7.347629390614368,0.16318767860143343,0.033873458897014534,7999988.01176999,7.347629390614368,0.16318767860143343,0.033873458897014534
17.0,7999986.196399486,8.418736704416832,0.1876020223149473,0.04087259058806743,7999986.196399486,8.418736704416832,0.1876020223149473,0.04087259058806743
18.0,7999984.152691645,9.622576965494257,0.21489608838788274,0.04890384445628435,7999984.152691645,9.622576965494257,0.21489608838788274,0.04890384445628435
19.0,7999981.85240206,10.975598825578732,0.24543522930916875,0.05808945738887717,7999981.85240206,10.975598825578732,0.24543522930916875,0.05808945738887717
20.0,7999979.263799194,12.496265732144701,0.2796306589058819,0.06856716705583456,7999979.263799194,12.496265732144701,0.2796306589058819,0.06856716705583456
21.0,7999976.351235307,14.205306877522384,0.3179446783835166,0.08049214681964337,7999976.351235307,14.205306877522384,0.3179446783835166,0.08049214681964337
22.0,7999973.07466442,16.125998481660293,0.3608966609453677,0.09403916442193748,7999973.07466442,16.125998481660293,0.3608966609453677,0.09403916442193748
23.0,7999969.38910073,18.284479266360474,0.4090698617489182,0.10940499605795873,7999969.38910073,18.284479266360474,0.4090698617489182,0.10940499605795873
24.0,7999965.244010274,20.710104427697537,0.4631191340574142,0.12681113039664427,7999965.244010274,20.710104427697537,0.4631191340574142,0.12681113039664427
25.0,7999960.582627553,23.435842922930487,0.5237796470126819,0.1465068006231694,7999960.582627553,23.435842922930487,0.5237796470126819,0.1465068006231694
26.0,7999955.341187984,26.498723464809814,0.5918767158189013,0.16877238669710914,7999955.341187984,26.498723464809814,0.5918767158189013,0.16877238669710914
27.0,7999949.448065716,29.940335267069933,0.668336871597571,0.19392323477104104,7999949.448065716,29.940335267069933,0.668336871597571,0.19392323477104104
28.0,7999942.822805271,33.80739031846447,0.7542003160550445,0.2223139461516458,7999942.822805271,33.80739031846447,0.7542003160550445,0.2223139461516458
29.0,7999935.375033847,38.152354788511445,0.850634925701146,0.25434319437060426,7999935.375033847,38.152354788511445,0.850634925701146,0.25434319437060426
30.0,7999927.003239705,43.034158097013574,0.958951991985149,0.2904591359406175,7999927.003239705,43.034158097013574,0.958951991985149,0.2904591359406175
31.0,7999917.593400043,48.51898922366919,1.080623907704824,0.3311654882903769,7999917.593400043,48.51898922366919,1.080623907704824,0.3311654882903769
32.0,7999907.017439932,54.68119100751704,1.2173040367494796,0.37702835730263007,7999907.017439932,54.68119100751704,1.2173040367494796,0.37702835730263007
33.0,7999895.131501464,61.60426450412726,1.3708490340425648,0.42868390693769537,7999895.131501464,61.60426450412726,1.3708490340425648,0.42868390693769537
34.0,7999881.773999795,69.38199694885161,1.54334391587323,0.48684697474299854,7999881.773999795,69.38199694885161,1.54334391587323,0.48684697474299854
35.0,7999866.76343985,78.11972853672027,1.7371302181116315,0.5523207497771387,7999866.76343985,78.11972853672027,1.7371302181116315,0.5523207497771387
36.0,7999849.895964193,87.93577509575404,1.9548376216018595,0.6260076437838168,7999849.895964193,87.93577509575404,1.9548376216018595,0.6260076437838168
37.0,7999830.942599139,98.96302582525394,2.199419470888163,0.708921502527416,7999830.942599139,98.96302582525394,2.199419470888163,0.708921502527416
38.0,7999809.646161817,111.3507376217127,2.4741926649888284,0.8022013222628938,7999809.646161817,111.3507376217127,2.4741926649888284,0.8022013222628938
39.0,7999785.717786645,125.26655015335746,2.7828824578952376,0.9071266565994359,7999785.717786645,125.26655015335746,2.7828824578952376,0.9071266565994359
40.0,7999758.833024327,140.898748804666,3.129672772632132,1.0251349218015406,7999758.833024327,140.898748804666,3.129672772632132,1.0251349218015406
41.0,7999728.62746091,158.458805933294,3.519262706953056,1.1578408341576882,7999728.62746091,158.458805933294,3.519262706953056,1.1578408341576882
